Chave_Parcela_Idade;Talhao;Parcela;Idade_meses;Area_parc;Cova;Fuste;Fila;Viva;Falha;dap;altura;Dom;Hd;dg;Gi;G;treino;altura_reta;altura_parabola;altura_curtis;altura_stofells;altura_hericksen;altura_gompertz;altura_logistico;altura_chapman_richards;Estrato
PR1T1-4-59;PR1T1;4;59;326.32;1;1;1;1;0;17.9;20.8;D;21.06666667;14.56402123;0.025164943;7.147214747;1;21.133137348248397;21.165911422426802;20.462355492944532;20.908501077455956;20.93875076375007;19.956088931241794;21.160539024487804;21.100871243348003;PR1T1
PR1T1-5-29;PR1T1;5;29;251.21;4;1;1;1;0;16.9;18.26158358;D;18.04313545;15.07769876;0.022431757;7.107601699;1;20.377497734122407;20.329022153387378;20.049257671338236;20.261100488430245;20.359982579012616;19.57255282260438;20.321721020064793;20.40432031867009;PR1T1
PR1T1-2-72;PR1T1;2;72;249.3;10;1;2;1;0;12.7;18.3;N;22.96666667;18.50249983;0.012667687;8.628164324;1;17.20381135479325;17.13009861343601;17.76911120366029;17.32899173622765;17.48349678150447;17.59626896740265;17.13626540162405;17.268927927169546;PR1T1
PR1T1-4-59;PR1T1;4;59;326.32;9;3;2;1;0;11.1;17.3;N;21.06666667;14.56402123;0.009676891;7.147214747;1;15.994787972191666;16.04573697639099;16.567399775487914;16.098174315499957;16.12779901119812;16.673737066232256;16.054817463412814;15.963016386503806;PR1T1
PR1T1-2-29;PR1T1;2;29;249.3;5;1;1;1;0;12.3;15.9630928;N;15.55414522;13.11398744;0.011882289;4.876178994;1;16.901555509142856;16.85206289889972;17.49059595105763;17.02820714022441;17.161299879874704;17.37479467171353;16.85945414897849;16.949200281613432;PR1T1
PR1T1-2-72;PR1T1;2;72;249.3;5;1;1;1;0;18.2;21.7;N;22.96666667;18.50249983;0.026015529;8.628164324;1;21.359829232486195;21.4226212636746;20.57894108882031;21.09950620658107;21.106086370895245;20.06521426961215;21.418620636136254;21.306654787319214;PR1T1
PR1T1-5-29;PR1T1;5;29;251.21;1;1;1;1;0;16.0;20.1;N;18.04313545;15.07769876;0.020106193;7.107601699;1;19.697422081409016;19.600564461294216;19.641745305930268;19.663440261908153;19.809023566345953;19.200257112104484;19.594272134312714;19.76260405281251;PR1T1
PR1T1-4-48;PR1T1;4;48;326.32;1;1;1;1;0;17.6;20.5;D;20.63333333;14.13966053;0.024328494;6.736777296;1;20.906445464010602;20.91180607065715;20.342489993037493;20.716040625390182;20.76858681562116;19.844261065563725;20.905452807267757;20.89364672731801;PR1T1
PR1T1-4-29;PR1T1;4;29;326.32;2;1;1;1;0;9.2;14.5;N;17.5393771;12.50522748;0.00664761;5.269354502;1;14.559072705352285;14.85427894923128;14.770732915260204;14.526672926575362;14.237655026870897;15.450203516437472;14.856597372129501;14.30541818713348;PR1T1
PR1T1-3-59;PR1T1;3;59;289.3;2;1;1;1;0;17.6;19.8;N;21.6;16.94089726;0.024328494;7.791377826;1;20.906445464010602;20.91180607065715;20.342489993037493;20.716040625390182;20.76858681562116;19.844261065563725;20.905452807267757;20.89364672731801;PR1T1
PR1T1-3-72;PR1T1;3;72;289.3;2;1;1;1;0;18.6;21.8;N;24.83333333;17.59249366;0.027171635;10.08271521;1;21.66208507813659;21.7689524800821;20.729511911498715;21.35197569695439;21.324960076294367;20.20659359066885;21.767444823140647;21.57884905795448;PR1T1
PR1T1-5-29;PR1T1;5;29;251.21;8;1;2;1;0;13.9;16.76511729;N;18.04313545;15.07769876;0.015174678;7.107601699;1;18.11057889174444;17.991986978145047;18.53018261281567;18.206519044822084;18.39248614798515;18.2247953227986;17.993403029382296;18.203824776816155;PR1T1
PR1T1-4-48;PR1T1;4;48;326.32;10;1;2;1;0;12.1;17.8;N;20.63333333;14.13966053;0.011499015;6.736777296;1;16.750427586317656;16.71478136795033;17.346183982588744;16.876154332102764;16.996250381398845;17.261781041123164;16.72268079387681;16.78771489347498;PR1T1
PR1T1-5-38;PR1T1;5;38;251.21;8;1;2;1;0;15.4;22.2;N;23.5;16.9871193;0.018626503;8.119605725;1;19.244038312933423;19.12794844728947;19.34886473313676;19.256507383477818;19.42422027208836;18.937158908325532;19.123343727226683;19.326417711296962;PR1T1
PR1T1-2-29;PR1T1;2;29;249.3;3;1;1;1;0;12.9;15.9;N;15.55414522;13.11398744;0.013069811;4.876178994;1;17.35493927761845;17.27085279702292;17.903448604942454;17.47777421349179;17.64080926217359;17.7047429379673;17.2763194911964;17.427218433393;PR1T1
PR1T1-2-38;PR1T1;2;38;249.3;7;1;2;1;0;14.3;17.5;N;18.46666667;14.99121965;0.016060607;6.372121489;1;18.412834737394835;18.28854350674811;18.761679846255706;18.491334694418132;18.67811648020573;18.422570473365568;18.288238245185973;18.507916949269553;PR1T1
PR1T1-3-72;PR1T1;3;72;289.3;3;1;1;1;0;16.9;22.1;N;24.83333333;17.59249366;0.022431757;10.08271521;1;20.377497734122407;20.329022153387378;20.049257671338236;20.261100488430245;20.359982579012616;19.57255282260438;20.321721020064793;20.40432031867009;PR1T1
PR1T1-4-59;PR1T1;4;59;326.32;8;1;2;1;0;15.1;19.7;N;21.06666667;14.56402123;0.017907864;7.147214747;1;19.017346428695625;18.89554717450431;19.195470156058498;19.050349645220543;19.226158922095333;18.80100916142609;18.891999917419234;19.10567411572118;PR1T1
PR1T1-2-59;PR1T1;2;59;249.3;10;1;2;1;0;12.5;18.3;N;21.13333333;17.30823503;0.012271846;7.550281742;1;17.052683431968052;16.99050198072828;17.631531812759516;17.179144327570867;17.32368717329095;17.48628852505579;16.997312994733285;17.10959642927774;PR1T1
PR1T1-5-38;PR1T1;5;38;251.21;5;1;1;1;0;17.3;23.2;N;23.5;16.9871193;0.023506182;8.119605725;1;20.679753579772804;20.660305208365628;20.219206363258053;20.522088666647235;20.595497269895503;19.729683063505497;20.653329960570225;20.68494634701818;PR1T1
PR1T1-5-38;PR1T1;5;38;251.21;4;1;1;1;0;18.7;24.0;D;23.5;16.9871193;0.027464588;8.119605725;1;21.73764903954919;21.85625875348346;20.76631446135955;21.414707729694836;21.378943014882246;20.241214377799423;21.855500944684994;21.646515613643896;PR1T1
PR1T1-3-29;PR1T1;3;29;289.3;8;1;2;1;0;13.9;16.76511729;N;17.92552277;14.24756119;0.015174678;5.510899737;1;18.11057889174444;17.991986978145047;18.53018261281567;18.206519044822084;18.39248614798515;18.2247953227986;17.993403029382296;18.203824776816155;PR1T1
PR1T1-1-29;PR1T1;1;29;265.54;3;1;1;1;0;13.4;16.5;N;16.94684487;12.45896598;0.014102609;5.50941106;1;17.732759084681444;17.627802541086567;18.225816103812345;17.845226027895198;18.02366124449068;17.969387442133904;17.631328337286764;17.818537769427493;PR1T1
PR1T1-3-29;PR1T1;3;29;289.3;5;1;1;1;0;13.8;16.71550592;N;17.92552277;14.24756119;0.014957123;5.510899737;1;18.03501493033184;17.918571315293764;18.470678672011616;18.134737403809957;18.319794179296853;18.174445788636156;17.92041655817327;18.127234935421644;PR1T1
PR1T1-4-29;PR1T1;4;29;326.32;5;1;1;1;0;12.4;16.01404355;N;17.5393771;12.50522748;0.012076282;5.269354502;1;16.977119470555454;16.921137745954105;17.56149079413768;17.1038135474009;17.24282092386841;17.430731186401147;16.92824738231381;17.029532951128385;PR1T1
PR1T1-4-29;PR1T1;4;29;326.32;6;1;1;1;0;9.6;14.47653299;N;17.5393771;12.50522748;0.007238229;5.269354502;1;14.861328551002682;15.096430586513211;15.189278540785379;14.86890599803329;14.666136454389374;15.71933916126861;15.101390644888312;14.665419476072339;PR1T1
PR1T1-2-59;PR1T1;2;59;249.3;5;1;1;1;0;17.0;20.4;N;21.13333333;17.30823503;0.022698007;7.550281742;1;20.453061695535006;20.41140883555225;20.092358658722308;20.326607472133507;20.41937976560704;19.612307686536692;20.404138736956984;20.474733743027365;PR1T1
PR1T1-1-29;PR1T1;1;29;265.54;11;1;2;1;0;14.3;16.96335866;D;16.94684487;12.45896598;0.016060607;5.50941106;1;18.412834737394835;18.28854350674811;18.761679846255706;18.491334694418132;18.67811648020573;18.422570473365568;18.288238245185973;18.507916949269553;PR1T1
PR1T1-3-72;PR1T1;3;72;289.3;4;1;1;1;0;19.4;24.1;N;24.83333333;17.59249366;0.029559245;10.08271521;1;22.26659676943738;22.475505523447175;21.015005356692956;21.84964781657106;21.74892983269744;20.475650593262316;22.48155121960539;22.116030185420826;PR1T1
PR1T1-3-38;PR1T1;3;38;289.3;10;1;2;1;0;15.6;18.3;N;19.33333333;15.36336552;0.01911345;6.407877107;1;19.39516623575862;19.284329567745214;19.44850023405477;19.392936688414675;19.55412909291397;19.026211015376358;19.27909159979425;19.472586561950614;PR1T1
PR1T1-5-38;PR1T1;5;38;251.21;2;1;1;1;0;16.3;23.5;N;23.5;16.9871193;0.020867244;8.119605725;1;19.924113965646814;19.840779202513797;19.781637631501347;19.864313234471542;19.996046788175466;19.327291473237757;19.833917034027852;19.97814070982165;PR1T1
PR1T1-5-29;PR1T1;5;29;251.21;3;1;1;1;0;15.1;19.1;N;18.04313545;15.07769876;0.017907864;7.107601699;1;19.017346428695625;18.89554717450431;19.195470156058498;19.050349645220543;19.226158922095333;18.80100916142609;18.891999917419234;19.10567411572118;PR1T1
PR1T1-4-48;PR1T1;4;48;326.32;9;2;2;1;0;11.7;17.6;N;20.63333333;14.13966053;0.010751315;6.736777296;1;16.44817174066726;16.443690958689075;17.04642579746577;16.568593164986297;16.657805271399898;17.031172015204113;16.452358527961916;16.461373048957597;PR1T1
PR1T1-4-38;PR1T1;4;38;326.32;9;1;2;1;0;13.1;17.7;N;19.6;13.31438535;0.013478218;5.973329462;1;17.506067200443646;17.412764531489;18.034653596047175;17.62551566494694;17.79570145461048;17.811717921758202;17.417483436231695;17.58449072269615;PR1T1
PR1T1-3-59;PR1T1;3;59;289.3;10;1;2;1;0;17.6;21.1;N;21.6;16.94089726;0.024328494;7.791377826;1;20.906445464010602;20.91180607065715;20.342489993037493;20.716040625390182;20.76858681562116;19.844261065563725;20.905452807267757;20.89364672731801;PR1T1
PR1T1-4-29;PR1T1;4;29;326.32;1;1;1;1;0;15.8;17.5;D;17.5393771;12.50522748;0.01960668;5.269354502;1;19.54629415858382;19.44186823908013;19.546107042122966;19.52857615290155;19.682382979253155;19.113906171900748;19.436064757610588;19.617977374254995;PR1T1
PR1T1-4-59;PR1T1;4;59;326.32;6;1;1;1;0;11.0;17.2;N;21.06666667;14.56402123;0.009503318;7.147214747;1;15.919224010779068;15.980424169693919;16.483897160817364;16.018661990521906;16.036687132123642;16.612815061328313;15.989474653622274;15.878877534870854;PR1T1
PR1T1-5-38;PR1T1;5;38;251.21;1;1;1;1;0;18.4;22.5;D;23.5;16.9871193;0.02659044;8.119605725;1;21.51095715531139;21.595208096438764;20.654907624751765;21.226051652732625;21.216118000810923;20.136486731219385;21.592355091641057;21.443059878085467;PR1T1
PR1T1-2-72;PR1T1;2;72;249.3;4;1;1;1;0;20.0;23.0;D;22.96666667;18.50249983;0.031415927;8.628164324;1;22.719980537912974;23.0175745902023;21.21646151768944;22.2168275983333;22.055586856788462;20.665904385524012;23.031841929962052;22.512884308950884;PR1T1
PR1T1-1-29;PR1T1;1;29;265.54;1;1;1;1;0;11.4;14.3;N;16.94684487;12.45896598;0.010207035;5.50941106;1;16.221479856429465;16.243411722800964;16.81151000894465;16.334785486430725;16.396289427176452;16.854187603575483;16.252406964102807;16.21355943977556;PR1T1
PR1T1-3-59;PR1T1;3;59;289.3;13;1;2;1;0;18.8;21.6;D;21.6;16.94089726;0.027759113;7.791377826;1;21.813213000961788;21.94385441460461;20.802789793531694;21.47728802371271;21.432638043095753;20.275549116839738;21.943899524860864;21.714031680104682;PR1T1
PR1T1-4-48;PR1T1;4;48;326.32;9;3;2;1;0;10.9;17.2;N;20.63333333;14.13966053;0.009331316;6.736777296;1;15.84366004936647;15.91540075071664;16.39929489699117;15.938821634214873;15.944743169580317;16.551506739255654;15.92439040927488;15.79441973854446;PR1T1
PR1T1-3-72;PR1T1;3;72;289.3;1;1;1;1;0;16.6;22.6;N;24.83333333;17.59249366;0.021642432;10.08271521;1;20.150805849884613;20.08359843321152;19.91741649987941;20.06351877421005;20.17965906132548;19.45137495125546;20.076389718759145;20.192032154323265;PR1T1
PR1T1-3-29;PR1T1;3;29;289.3;13;1;2;1;0;16.4;18.00922443;D;17.92552277;14.24756119;0.021124069;5.510899737;1;19.999677927059412;19.92142955835991;19.827345419409287;19.930898157692546;20.057623701388774;19.368978288542074;19.91442554701427;20.04961855055142;PR1T1
PR1T1-4-48;PR1T1;4;48;326.32;4;1;1;1;0;14.8;19.2;N;20.63333333;14.13966053;0.017203361;6.736777296;1;18.79065454445783;18.665750391197285;19.037147778549077;18.842328506157873;19.02412283271219;18.661736988515194;18.66336328576635;18.88309720192547;PR1T1
