Nome;N;AB;FP;FA;FR;DA;DR;DoA;DoR;IVC
Alibertia edulis;1;0.0191134497044403;1;20.0;2.631578947368421;2.0;0.7518796992481203;0.0382268994088806;0.7533239863706306;0.7526018428093755
Aspidosperma subincanum Mart;1;0.013375527072199396;1;20.0;2.631578947368421;2.0;0.7518796992481203;0.02675105414439879;0.5271735625775984;0.6395266309128593
Astronium fraxinifolium;12;0.23895732052783894;4;80.0;10.526315789473683;24.0;9.022556390977442;0.4779146410556779;9.418094800053648;9.220325595515545
Brosimum gaudichaudii;3;0.08893713713828601;2;40.0;5.263157894736842;6.0;2.2556390977443606;0.17787427427657201;3.5053054117091413;2.880472254726751
Byrsonima coccolobifolia;2;0.028860209496276098;1;20.0;2.631578947368421;4.0;1.5037593984962405;0.057720418992552196;1.1374758822409492;1.320617640368595
Caryocar brasiliensis;6;0.08098692852133206;4;80.0;10.526315789473683;12.0;4.511278195488721;0.16197385704266412;3.1919615130192804;3.8516198542540008
Curatella americana Lineus;1;0.03258906791858306;1;20.0;2.631578947368421;2.0;0.7518796992481203;0.06517813583716613;1.2844424704153177;1.018161084831719
Dalbergia miscolobium;2;0.053646786484477016;2;40.0;5.263157894736842;4.0;1.5037593984962405;0.10729357296895403;2.114396494373893;1.8090779464350668
Dimorphandra mollis;6;0.19563266082173944;3;60.0;7.894736842105263;12.0;4.511278195488721;0.3912653216434789;7.710527308960306;6.110902752224513
Kielmeyera coriacea Mart. & Zucc.;1;0.006691034719450248;1;20.0;2.631578947368421;2.0;0.7518796992481203;0.013382069438900496;0.263715709395441;0.5077977043217806
N1;5;0.10019409193462894;3;60.0;7.894736842105263;10.0;3.7593984962406015;0.20038818386925789;3.9489790652205223;3.8541887807305617
Pterodon emarginatus;15;0.2618527529863584;3;60.0;7.894736842105263;30.0;11.278195488721805;0.5237055059727168;10.32047917943256;10.799337334077183
Qualea grandiflora Mart;4;0.19347550978809688;2;40.0;5.263157894736842;8.0;3.007518796992481;0.38695101957619377;7.625506884024162;5.316512840508322
Qualea grandiflora mart;1;0.01403953409546213;1;20.0;2.631578947368421;2.0;0.7518796992481203;0.02807906819092426;0.5533442656938534;0.6526119824709868
Schinus terebinthifolia;12;0.17557448708247486;4;80.0;10.526315789473683;24.0;9.022556390977442;0.3511489741649497;6.919968637750516;7.971262514363979
Stenocalyx dysentericus;60;0.9455677330933211;4;80.0;10.526315789473683;120.0;45.11278195488722;1.8911354661866422;37.26793776592931;41.190359860408265
Xylopia brasiliensis;1;0.08772083812652219;1;20.0;2.631578947368421;2.0;0.7518796992481203;0.17544167625304438;3.4573670628328674;2.104623381040494
