parcela,arvore,dap,h
1,1,11.68197282,22.1
1,2,13.24169127,22.6
1,3,12.41408556,22.6
1,4,5.188451145,10
1,5,14.32394488,24.3
1,6,10.79070514,21.7
1,7,11.52281788,22.6
1,8,13.27352225,22.8
1,9,9.040000768,19
1,10,11.26816997,21.9
1,11,8.339719018,16.5
1,12,12.47774754,23
1,13,12.22309963,23.7
1,14,12.79605742,23.1
1,15,12.54140952,23
1,16,4.806479281,9.934809903
1,17,13.11436731,21.14828625
1,18,14.86507168,22.54821085
1,19,10.0585924,17.90152252
1,20,13.75098708,21.69613846
1,21,14.70591674,22.43479809
1,22,17.31605781,23.94489308
1,23,12.5732405,20.64775743
1,24,17.25239583,23.91692749
1,25,15.27887454,22.8301175
1,26,15.08788861,22.70233406
1,27,15.15155058,22.74537184
1,28,9.485634608,17.17904795
1,29,16.01098728,23.28299392
1,30,13.87831104,21.8003893
1,31,14.99239564,22.63694621
1,32,17.09324089,23.84507407
1,33,13.30535324,21.31729656
1,34,16.4884521,23.54676301
1,35,15.40619849,22.91308997
1,36,14.32394488,22.15130333
1,37,10.82253613,18.80896617
1,38,14.89690267,22.57056092
1,39,16.93408594,23.77045003
1,40,11.52281788,19.58471212
1,41,17.41155077,23.98601028
1,42,14.70591674,22.43479809
1,43,17.66619868,24.09077985
1,44,15.3743675,22.89251309
1,45,15.43802948,22.93355602
1,46,17.18873385,23.88851859
1,47,10.12225438,17.97958097
1,48,16.774931,23.69305537
1,49,8.594366927,15.98382739
1,50,15.56535343,23.01431199
1,51,13.20986028,21.23329011
1,52,10.9180291,18.91790822
1,53,11.14084602,19.16822746
1,54,5.793239929,11.66176956
1,55,15.43802948,22.93355602
1,56,6.780000576,13.28222647
1,57,9.963099438,17.78360365
1,58,19.09859317,24.54795
1,59,12.35042358,20.43234804
1,60,6.939155519,13.53361625
1,61,7.862254189,14.93704026
1,62,16.87042397,23.73982464
1,63,14.64225476,22.38865721
1,64,17.98450857,24.21176758
1,65,13.49633917,21.48231717
1,66,14.80140971,22.50317822
1,67,14.32394488,22.15130333
1,68,18.4619734,24.37246949
1,69,15.97915629,23.26452272
1,70,16.90225496,23.75519275
1,71,8.244226052,15.49050451
1,72,12.54140952,20.61731714
1,73,14.10112796,21.97856153
1,74,13.40084621,21.40030557
1,75,12.89155039,20.94606502
1,76,14.13295895,22.0035714
1,77,14.10112796,21.97856153
1,78,15.34253651,22.87182539
1,79,16.52028309,23.56346102
1,80,12.41408556,20.4944477
1,81,12.73239545,20.79829654
1,82,13.01887434,21.06228496
1,83,13.33718423,21.34507705
1,84,14.41943784,22.22367315
1,85,13.87831104,21.8003893
1,86,7.8304232,14.89019788
1,87,6.748169587,13.23161604
1,88,6.175211792,12.30167724
1,89,8.849014836,16.33418498
1,90,10.75887415,18.73578402
1,91,9.612958563,17.34270095
1,92,12.41408556,20.4944477
1,93,13.94197301,21.85184978
1,94,17.02957891,23.81555693
2,1,14.64225476,23.2
2,2,13.78281807,23.2
2,3,16.90225496,24.2
2,4,9.358310654,17.8
2,5,14.32394488,23.6
2,6,16.01098728,23.9
2,7,14.92873366,23.5
2,8,15.24704355,24
2,9,14.64225476,23.7
2,10,15.97915629,24.1
2,11,14.76957872,24.1
2,12,14.45126883,23.5
2,13,15.59718442,23.7
2,14,15.02422663,23.5
2,15,12.92338138,22.6
