parcela,arvore,Estrato,dap,h,vtcc
1,1,3,11.68197282,22.1,0.113460356
1,2,3,13.24169127,22.6,0.147592398
1,3,3,12.41408556,22.6,0.130334767
1,4,3,5.188451145,10,0.011070883
1,5,3,14.32394488,24.3,0.184129764
1,6,3,10.79070514,21.7,0.095675454
1,7,3,11.52281788,22.6,0.11290652
1,8,3,13.27352225,22.8,0.149539718
1,9,3,9.040000768,19,0.059857675
1,10,3,11.26816997,21.9,0.104921736
1,11,3,8.339719018,16.5,0.044737304
1,12,3,12.47774754,23,0.133867546
1,13,3,12.22309963,23.7,0.132420756
1,14,3,12.79605742,23.1,0.141113141
1,15,3,12.54140952,23,0.135186607
1,16,3,4.806479281,9.934809903,0.009494235
1,17,3,13.11436731,21.14828625,0.135900999
1,18,3,14.86507168,22.54821085,0.184022923
1,19,3,10.0585924,17.90152252,0.06943236
1,20,3,13.75098708,21.69613846,0.15260887
1,21,3,14.70591674,22.43479809,0.179372769
1,22,3,17.31605781,23.94489308,0.261640796
1,23,3,12.5732405,20.64775743,0.122447369
1,24,3,17.25239583,23.91692749,0.259498517
1,25,3,15.27887454,22.8301175,0.196354776
1,26,3,15.08788861,22.70233406,0.190620388
1,27,3,15.15155058,22.74537184,0.192523789
1,28,3,9.485634608,17.17904795,0.059602408
1,29,3,16.01098728,23.28299392,0.218986678
1,30,3,13.87831104,21.8003893,0.156061593
1,31,3,14.99239564,22.63694621,0.18778056
1,32,3,17.09324089,23.84507407,0.254168593
1,33,3,13.30535324,21.31729656,0.140814881
1,34,3,16.4884521,23.54676301,0.234269555
1,35,3,15.40619849,22.91308997,0.20021763
1,36,3,14.32394488,22.15130333,0.168429597
1,37,3,10.82253613,18.80896617,0.083847316
1,38,3,14.89690267,22.57056092,0.184959227
1,39,3,16.93408594,23.77045003,0.24887646
1,40,3,11.52281788,19.58471212,0.098367155
1,41,3,17.41155077,23.98601028,0.264865016
1,42,3,14.70591674,22.43479809,0.179372769
1,43,3,17.66619868,24.09077985,0.273524379
1,44,3,15.3743675,22.89251309,0.199248954
1,45,3,15.43802948,22.93355602,0.201188267
1,46,3,17.18873385,23.88851859,0.25736209
1,47,3,10.12225438,17.97958097,0.070576524
1,48,3,16.774931,23.69305537,0.243623307
1,49,3,8.594366927,15.98382739,0.045977981
1,50,3,15.56535343,23.01431199,0.205090295
1,51,3,13.20986028,21.23329011,0.138347271
1,52,3,10.9180291,18.91790822,0.085754032
1,53,3,11.14084602,19.16822746,0.090293226
1,54,3,5.793239929,11.66176956,0.015874958
1,55,3,15.43802948,22.93355602,0.201188267
1,56,3,6.780000576,13.28222647,0.024362411
1,57,3,9.963099438,17.78360365,0.067735598
1,58,3,19.09859317,24.54795,0.323661607
1,59,3,12.35042358,20.43234804,0.117112478
1,60,3,6.939155519,13.53361625,0.025940275
1,61,3,7.862254189,14.93704026,0.036285384
1,62,3,16.87042397,23.73982464,0.246770455
1,63,3,14.64225476,22.38865721,0.177527465
1,64,3,17.98450857,24.21176758,0.284467792
1,65,3,13.49633917,21.48231717,0.145813628
1,66,3,14.80140971,22.50317822,0.18215657
1,67,3,14.32394488,22.15130333,0.168429597
1,68,3,18.4619734,24.37246949,0.301109278
1,69,3,15.97915629,23.26452272,0.217982024
1,70,3,16.90225496,23.75519275,0.247822673
1,71,3,8.244226052,15.49050451,0.041175482
1,72,3,12.54140952,20.61731714,0.12167786
1,73,3,14.10112796,21.97856153,0.162190972
1,74,3,13.40084621,21.40030557,0.143303709
1,75,3,12.89155039,20.94606502,0.130276672
1,76,3,14.13295895,22.0035714,0.163075561
1,77,3,14.10112796,21.97856153,0.162190972
1,78,3,15.34253651,22.87182539,0.198282249
1,79,3,16.52028309,23.56346102,0.235302232
1,80,3,12.41408556,20.4944477,0.118624407
1,81,3,12.73239545,20.79829654,0.126331611
1,82,3,13.01887434,21.06228496,0.133476183
1,83,3,13.33718423,21.34507705,0.141642139
1,84,3,14.41943784,22.22367315,0.171136247
1,85,3,13.87831104,21.8003893,0.156061593
1,86,3,7.8304232,14.89019788,0.035894176
1,87,3,6.748169587,13.23161604,0.024053952
1,88,3,6.175211792,12.30167724,0.018900572
1,89,3,8.849014836,16.33418498,0.049664703
1,90,3,10.75887415,18.73578402,0.082589082
1,91,3,9.612958563,17.34270095,0.06171415
1,92,3,12.41408556,20.4944477,0.118624407
1,93,3,13.94197301,21.85184978,0.157801585
1,94,3,17.02957891,23.81555693,0.252047138
2,1,3,14.64225476,23.2,0.18371651
2,2,3,13.78281807,23.2,0.163505808
2,3,3,16.90225496,24.2,0.252288229
2,4,3,9.358310654,17.8,0.060089839
2,5,3,14.32394488,23.6,0.179020907
2,6,3,16.01098728,23.9,0.224570447
2,7,3,14.92873366,23.5,0.193078151
2,8,3,15.24704355,24,0.205205524
2,9,3,14.64225476,23.7,0.187526543
2,10,3,15.97915629,24.1,0.2255129
2,11,3,14.76957872,24.1,0.193778147
2,12,3,14.45126883,23.5,0.181356674
2,13,3,15.59718442,23.7,0.211801372
2,14,3,15.02422663,23.5,0.195464791
2,15,3,12.92338138,22.6,0.140832759
2,16,3,14.03746598,21.9282093,0.160428489
2,17,3,14.32394488,22.15130333,0.168429597
2,18,3,14.19662092,22.05325868,0.164851405
2,19,3,10.6315502,18.5880898,0.080103639
2,20,3,16.2338042,23.40918926,0.226069601
2,21,3,16.01098728,23.28299392,0.218986678
2,22,3,15.59718442,23.03422392,0.206070633
2,23,3,14.03746598,21.9282093,0.160428489
2,24,3,15.6608464,23.0737153,0.208037053
2,25,3,14.5467618,22.31861471,0.17477548
2,26,3,15.31070553,22.85102686,0.19731752
2,27,3,14.19662092,22.05325868,0.164851405
2,28,3,7.543944303,14.46362931,0.032485137
2,29,3,11.58647986,19.65257468,0.099748547
2,30,3,14.86507168,22.54821085,0.184022923
2,31,3,11.07718404,19.0972618,0.088983448
2,32,3,12.0321137,20.11520022,0.109701864
2,33,3,15.69267739,23.09329475,0.209023121
2,34,3,13.05070533,21.09106288,0.134282064
2,35,3,15.02422663,22.65885298,0.188725124
2,36,3,13.24169127,21.26140309,0.139167442
2,37,3,12.79605742,20.8577364,0.127902364
2,38,3,13.56000115,21.53643744,0.147498561
2,39,3,11.68197282,19.75353734,0.101839689
2,40,3,10.82253613,18.80896617,0.083847316
2,41,3,16.07464925,23.31960386,0.221001422
2,42,3,13.11436731,21.14828625,0.135900999
2,43,3,13.78281807,21.72236741,0.15346863
2,44,3,14.13295895,22.0035714,0.163075561
2,45,3,14.32394488,22.15130333,0.168429597
2,46,3,14.10112796,21.97856153,0.162190972
2,47,3,14.5467618,22.31861471,0.17477548
2,48,3,14.96056465,22.6149286,0.186838052
2,49,3,13.49633917,21.48231717,0.145813628
2,50,3,13.46450819,21.4550908,0.144974653
2,51,3,15.9473253,23.24594069,0.216979192
2,52,3,9.485634608,17.17904795,0.059602408
2,53,3,13.71915609,21.66979868,0.151751399
2,54,3,13.52817016,21.50943272,0.146654932
2,55,3,15.59718442,23.03422392,0.206070633
2,56,3,13.87831104,21.8003893,0.156061593
2,57,3,14.48309982,22.27136558,0.172951546
2,58,3,15.05605762,22.68064894,0.189671735
2,59,3,14.8332407,22.52574995,0.183088702
2,60,3,14.00563499,21.90286695,0.159550606
2,61,3,16.58394507,23.59652455,0.237372611
2,62,3,13.65549412,21.61678666,0.150043345
2,63,3,12.09577567,20.17951638,0.111164034
2,64,3,15.18338157,22.7667245,0.193478523
2,65,3,16.01098728,23.28299392,0.218986678
2,66,3,12.66873347,20.73841337,0.124770589
2,67,3,14.32394488,22.15130333,0.168429597
2,68,3,14.57859279,22.34207303,0.17569067
2,69,3,12.8597194,20.91673297,0.129482818
2,70,3,12.44591655,20.5253313,0.119384075
2,71,3,14.73774773,22.45770229,0.180298596
2,72,3,12.8597194,20.91673297,0.129482818
2,73,3,13.1461983,21.17673169,0.136714044
2,74,3,16.4884521,23.54676301,0.234269555
2,75,3,13.40084621,21.40030557,0.143303709
2,76,3,10.15408537,18.01844396,0.071152503
2,77,3,12.89155039,20.94606502,0.130276672
2,78,3,12.35042358,20.43234804,0.117112478
2,79,3,15.53352245,22.99428923,0.204111881
2,80,3,14.96056465,22.6149286,0.186838052
2,81,3,15.75633937,23.13212119,0.21100093
2,82,3,14.89690267,22.57056092,0.184959227
2,83,3,14.38760686,22.1996607,0.170231851
2,84,3,14.00563499,21.90286695,0.159550606
2,85,3,13.68732511,21.64334808,0.150896222
2,86,3,11.84112777,19.91959193,0.105375586
2,87,3,13.1461983,21.17673169,0.136714044
2,88,3,15.72450838,23.11276338,0.210011082
2,89,3,12.44591655,20.5253313,0.119384075
2,90,3,13.36901522,21.37274673,0.14247175
2,91,3,14.51493081,22.29504556,0.173862437
2,92,3,13.68732511,21.64334808,0.150896222
2,93,3,11.93662073,20.01789478,0.107527411
3,1,2,14.96056465,25.5,0.209731228
3,2,2,16.04281826,26.1,0.245374293
3,3,2,14.89690267,24.9,0.203301276
3,4,2,14.73774773,26.1,0.208367527
3,5,2,12.00028271,24.8,0.133514776
3,6,2,16.87042397,26.7,0.276325664
3,7,2,9.581127574,18.2,0.064236455
3,8,2,15.97915629,25.4,0.237211668
3,9,2,17.0614099,26.2,0.277292066
3,10,2,19.48056503,25.9,0.354059636
3,11,2,15.21521256,25.1,0.213390968
3,12,2,14.13295895,25,0.18440183
3,13,2,14.89690267,25.5,0.208015066
3,14,2,15.91549431,24.8,0.230038912
3,15,2,16.32929716,25.6,0.249202637
3,16,2,14.51493081,22.29504556,0.173862437
3,17,2,14.99239564,22.63694621,0.18778056
3,18,2,14.48309982,22.27136558,0.172951546
3,19,2,16.01098728,23.28299392,0.218986678
3,20,2,15.08788861,22.70233406,0.190620388
3,21,2,15.53352245,22.99428923,0.204111881
3,22,2,17.63436769,24.07807154,0.27243719
3,23,2,17.02957891,23.81555693,0.252047138
