Chave_Parcela_Idade,Talhao,Parcela,Idade_meses,Area_parc,Cova,Fuste,Fila,Viva,Falha,DAP,Ht,Dom,Hd,dg,Gi,G
PR1T1-1-29,PR1T1,1,29,265.54,1,1,1,1,0,11.4,14.3,N,16.94684487,12.45896598,0.010207035,5.50941106
PR1T1-1-29,PR1T1,1,29,265.54,2,1,1,1,0,13.2,16.1,N,16.94684487,12.45896598,0.013684778,5.50941106
PR1T1-1-29,PR1T1,1,29,265.54,3,1,1,1,0,13.4,16.5,N,16.94684487,12.45896598,0.014102609,5.50941106
PR1T1-1-29,PR1T1,1,29,265.54,4,1,1,1,0,10.9,15.22603284,N,16.94684487,12.45896598,0.009331316,5.50941106
PR1T1-1-29,PR1T1,1,29,265.54,5,1,1,1,0,8.9,14.03419364,N,16.94684487,12.45896598,0.006221139,5.50941106
PR1T1-1-29,PR1T1,1,29,265.54,6,1,1,1,0,12.9,16.26666671,N,16.94684487,12.45896598,0.013069811,5.50941106
PR1T1-1-29,PR1T1,1,29,265.54,6,2,1,1,0,9.0,14.09928869,N,16.94684487,12.45896598,0.006361725,5.50941106
PR1T1-1-29,PR1T1,1,29,265.54,7,1,1,1,0,12.3,15.9630928,N,16.94684487,12.45896598,0.011882289,5.50941106
PR1T1-1-29,PR1T1,1,29,265.54,8,1,2,1,0,13.1,16.36691566,N,16.94684487,12.45896598,0.013478218,5.50941106
PR1T1-1-29,PR1T1,1,29,265.54,10,1,2,1,0,14.3,16.96335866,D,16.94684487,12.45896598,0.016060607,5.50941106
PR1T1-1-29,PR1T1,1,29,265.54,11,1,2,1,0,14.3,16.96335866,D,16.94684487,12.45896598,0.016060607,5.50941106
PR1T1-1-29,PR1T1,1,29,265.54,24,1,4,1,0,14.2,16.9138173,D,16.94684487,12.45896598,0.015836769,5.50941106
PR1T1-2-29,PR1T1,2,29,249.3,1,1,1,1,0,13.9,15.3,D,15.55414522,13.11398744,0.015174678,4.876178994
PR1T1-2-29,PR1T1,2,29,249.3,2,1,1,1,0,16.4,14.3,D,15.55414522,13.11398744,0.021124069,4.876178994
PR1T1-2-29,PR1T1,2,29,249.3,3,1,1,1,0,12.9,15.9,N,15.55414522,13.11398744,0.013069811,4.876178994
PR1T1-2-29,PR1T1,2,29,249.3,4,1,1,1,0,13.1,16.36691566,N,15.55414522,13.11398744,0.013478218,4.876178994
PR1T1-2-29,PR1T1,2,29,249.3,5,1,1,1,0,12.3,15.9630928,N,15.55414522,13.11398744,0.011882289,4.876178994
PR1T1-2-29,PR1T1,2,29,249.3,6,1,2,1,0,12.3,15.9630928,N,15.55414522,13.11398744,0.011882289,4.876178994
PR1T1-2-29,PR1T1,2,29,249.3,7,1,2,1,0,12.1,15.86067403,N,15.55414522,13.11398744,0.011499015,4.876178994
PR1T1-2-29,PR1T1,2,29,249.3,10,1,2,1,0,9.4,14.35326359,N,15.55414522,13.11398744,0.006939778,4.876178994
PR1T1-2-29,PR1T1,2,29,249.3,13,1,3,1,0,14.5,17.06243566,D,15.55414522,13.11398744,0.016512996,4.876178994
PR1T1-2-38,PR1T1,2,38,249.3,1,1,1,1,0,16.3,18.5,D,18.46666667,14.99121965,0.020867244,6.372121489
PR1T1-2-38,PR1T1,2,38,249.3,2,1,1,1,0,16.8,18.1,D,18.46666667,14.99121965,0.022167078,6.372121489
PR1T1-2-38,PR1T1,2,38,249.3,3,1,1,1,0,15.0,18.9,N,18.46666667,14.99121965,0.017671459,6.372121489
PR1T1-2-38,PR1T1,2,38,249.3,4,1,1,1,0,15.6,18.2,N,18.46666667,14.99121965,0.01911345,6.372121489
PR1T1-2-38,PR1T1,2,38,249.3,5,1,1,1,0,14.6,17.6,N,18.46666667,14.99121965,0.016741547,6.372121489
PR1T1-2-38,PR1T1,2,38,249.3,6,1,2,1,0,13.7,17.1,N,18.46666667,14.99121965,0.014741138,6.372121489
PR1T1-2-38,PR1T1,2,38,249.3,7,1,2,1,0,14.3,17.5,N,18.46666667,14.99121965,0.016060607,6.372121489
PR1T1-2-38,PR1T1,2,38,249.3,10,1,2,1,0,11.2,15.5,N,18.46666667,14.99121965,0.009852035,6.372121489
